condition,comment_slot,post_id,comment,category,confidence,reasoning
AI,C-44eycs1H5,1,So beautiful ❣️,praise_admiration,high,expresses genuine admiration
AI,DVMb9kqElDz,1,Simply outstanding 🔥🔥🔥,praise_admiration,high,admires work with emojis
AI,DNSWhv1uGjZ,1,"Oh darling, say👏it👏louder👏. Your vibe and art are clearly powerful - which some people just can’t handle.  YOU’RE AMAZING! SO IS YOUR ART! Big hugs 💖💜💖💜💖💜💖",praise_admiration,high,admires art and creator
AI,DMyBan2tx-f,1,❤️❤️❤️,emoji_only,high,no letters or digits
AI,DHOa6Ajt1dq,1,Adore this job 😍 sea horse so beautiful 💫,praise_admiration,high,"admires work, uses emojis"
AI,C0sQkLEPkyC,1,That's why the kids have to be in bed! 😮👏👏,praise_admiration,high,excited language and multiple 👏
AI,DQcyILfj1Nx,1,🤍🤍🌟🙌🖤,emoji_only,high,no letters or digits
AI,DQhcx5VDMHT,1,😮,emoji_only,high,no letters or digits
AI,DVYkAyEDF9p,1,😍😍😍,emoji_only,high,no letters or digits
AI,Co-OeX8tLU-,1,🔥,emoji_only,high,no letters or digits
AI,DS46sWajEKe,1,La obra de arte de Dios es el cielo y la naturaleza sin duda alguna 😍❤️,praise_admiration,high,"admires work, uses superlatives"
AI,DT5TuKfjWvD,1,👏😍,emoji_only,high,no letters or digits
AI,DPZX0snCLqL,1,👏👏👏😍😍,emoji_only,high,no letters or digits
AI,DLGLX5bIe9Q,1,🔥🔥🔥,emoji_only,high,no letters or digits
AI,DU2oB0uCOGt,1,🔥🔥🔥,emoji_only,high,no letters or digits
AI,DKYASe8Ivyo,1,超綺麗😍♥️💕,praise_admiration,high,beautiful emojis
AI,DRPrkoRDOoZ,1,Phenomenal Set Bro 🔥 love the 3rd one❤️,praise_admiration,high,admires the artwork
AI,DQjRfrPkmrF,1,👏👏👏👏👏,emoji_only,high,no letters or digits
AI,DScKTvjDD6e,1,❤️❤️❤️,emoji_only,high,no letters or digits
AI,DSlL18bDEhJ,1,So beautiful ❤️❤️❤️❤️,praise_admiration,high,admires work with emojis
AI,DRhZaJnASMQ,1,Amazing 😍,praise_admiration,high,admires the work
AI,DLSxcoJNlxg,1,"Freedom, she is a representation of the young people wanting to be free in this world. She is the spirit of Freedom. I dreamed and you also. ✨️✨️✨️",praise_admiration,high,admires the spirit of freedom
AI,DEglt6Xy4zZ,1,Amazing 🙌,praise_admiration,high,admires the work
AI,CikP68Ej7du,1,🔥,emoji_only,high,no letters or digits
AI,C3oeAHmu5gB,1,can I draw this?🥹😏,humor_meme,high,"clear joke, pun, or meme"
AI,DOtnkYcCt1X,1,"Set them free, let them rise, and reach for the stars they've always dreamed of. They deserve to shine brighter... 🕊️🤍",praise_admiration,high,admires the message
AI,DRSGIcZEQRC,1,❤️❤️ Amazing 👌✨️😍✨️,praise_admiration,high,admires work with emojis
AI,CqW9uyIsXFJ,1,@charly.medina.92505 mira,non_english,low,language not English
AI,DTCBCWEEWGC,1,😍,emoji_only,high,no letters or digits
AI,DT2lgb4k5Qe,1,❤️🫶🤘🤘🤘,emoji_only,high,no letters or digits
AI,DUlMAD2lRix,1,👏👏,emoji_only,high,no letters or digits
AI,DTv9sJGjD7-,1,"¡Guau, es muy, muy bonito!😍😍😍😍😍",praise_admiration,high,admires the work
AI,DR2OG7qEjMb,1,🔥🔥🔥🔥🔥🔥🔥🔥,emoji_only,high,no letters or digits
