condition,post_id,position,timestamp,raw_text,processed_text,sentiment
human,DDhx9Znow-I,1,2024-12-13 10:06:00,Very beautiful and light 😍,Very beautiful and light :smiling_face_with_heart-eyes:,0.7550579905509949
human,DDhx9Znow-I,2,2024-12-13 10:07:00,This is breathtaking ❤️,This is breathtaking :red_heart:,0.8463218808174133
human,DDhx9Znow-I,3,2024-12-13 11:11:00,❤️❤️❤️❤️❤️❤️,:red_heart: :red_heart: :red_heart: :red_heart: :red_heart: :red_heart:,-0.21340663731098175
human,DDhx9Znow-I,4,2024-12-13 11:12:00,You have captured the feeling. Magic. I love this ART so much 😍🙏,You have captured the feeling. Magic. I love this ART so much :smiling_face_with_heart-eyes: :folded_hands:,0.8219958543777466
human,DDhx9Znow-I,5,2024-12-13 11:29:00,🔥🔥🔥🔥🔥,:fire: :fire: :fire: :fire: :fire:,-0.054603904485702515
human,DDhx9Znow-I,6,2024-12-13 11:37:00,It’s absolutely cute 😍😍,It’s absolutely cute :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes:,0.72025066614151
human,DDhx9Znow-I,7,2024-12-13 12:12:00,"Which Materials do you use? 😍 i would Like to practice myself in landscapes, but at this Point I struggle with the question, which Materials i should use.  Sorry for my english, it‘s been a Long time since school. 🥲","Which Materials do you use? :smiling_face_with_heart-eyes: i would Like to practice myself in landscapes, but at this Point I struggle with the question, which Materials i should use. Sorry for my english, it‘s been a Long time since school. :smiling_face_with_tear:",-0.27310776710510254
human,DDhx9Znow-I,8,2024-12-13 12:51:00,You make it look so easy 😍,You make it look so easy :smiling_face_with_heart-eyes:,0.5738296508789062
human,DDhx9Znow-I,9,2024-12-13 14:55:00,Your paintings are pure magic,Your paintings are pure magic,0.8565551042556763
human,DDhx9Znow-I,10,2024-12-13 15:50:00,Absolutely wonderful and elegant painting! It's so enchanting! 😍,Absolutely wonderful and elegant painting! It's so enchanting! :smiling_face_with_heart-eyes:,0.8878073692321777
human,DDhx9Znow-I,11,2024-12-14 04:41:00,The lightning is so pretty!😍,The lightning is so pretty! :smiling_face_with_heart-eyes:,0.7474703192710876
human,DDhx9Znow-I,12,2024-12-14 08:55:00,"sorry Iam have a limit of expressing these fellings but I can tell its like vague but a warm felling the sun is bright but its has a warm, safe touch","sorry Iam have a limit of expressing these fellings but I can tell its like vague but a warm felling the sun is bright but its has a warm, safe touch",0.27469250559806824
human,DDhx9Znow-I,13,2024-12-15 02:15:00,👏👏👏😍😍😍😍,:clapping_hands: :clapping_hands: :clapping_hands: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes:,-0.16456162929534912
human,DDhx9Znow-I,14,2024-12-15 02:25:00,This is like looking at a fairytale 😍,This is like looking at a fairytale :smiling_face_with_heart-eyes:,-0.19698743522167206
human,DDhx9Znow-I,15,2024-12-15 02:55:00,👏👏❤️,:clapping_hands: :clapping_hands: :red_heart:,-0.2905448377132416
human,DDhx9Znow-I,16,2024-12-15 07:24:00,👏really love your work❤️fulled with spirit,:clapping_hands: really love your work :red_heart: fulled with spirit,0.7947607040405273
human,DDhx9Znow-I,17,2024-12-16 00:01:00,This is soooooo beautiful 😍 ❤️,This is soooooo beautiful :smiling_face_with_heart-eyes: :red_heart:,0.7932630777359009
human,DDhx9Znow-I,18,2024-12-16 07:42:00,Perfect,Perfect,0.3301584720611572
human,DDhx9Znow-I,19,2024-12-18 04:58:00,It's fantastic,It's fantastic,0.8584252595901489
human,DDhx9Znow-I,20,2024-12-18 15:30:00,Love all those colors! Awesome work! 🔥,Love all those colors! Awesome work! :fire:,0.9266030788421631
human,DDhx9Znow-I,21,2024-12-19 03:01:00,❤️❤️❤️❤️,:red_heart: :red_heart: :red_heart: :red_heart:,-0.2718210220336914
human,DDhx9Znow-I,22,2024-12-19 11:51:00,😍😍😍😍🔥🔥🔥🔥,:smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :fire: :fire: :fire: :fire:,-0.17316943407058716
human,DDhx9Znow-I,23,2024-12-23 03:19:00,👍🖌️,:thumbs_up: :paintbrush:,-0.22073590755462646
human,DDhx9Znow-I,24,2024-12-24 04:47:00,"It feels like a scene from a dream, its so beautiful ❤️❤️❤️","It feels like a scene from a dream, its so beautiful :red_heart: :red_heart: :red_heart:",0.7671840786933899
human,DDhx9Znow-I,25,2024-12-25 00:57:00,The warmth this painting is giving me. It's so lovely 🌟🌷🙏,The warmth this painting is giving me. It's so lovely :glowing_star: :tulip: :folded_hands:,0.7882209420204163
human,DDhx9Znow-I,26,2024-12-25 07:54:00,Mesmerized! Almost in a trance!,Mesmerized! Almost in a trance!,0.7648614048957825
human,DDhx9Znow-I,27,2024-12-25 23:18:00,🌿💚🤍🧡💛🩵🩷,:herb: :green_heart: :white_heart: :orange_heart: :yellow_heart: :light_blue_heart: :pink_heart:,0.14082124829292297
human,DDhx9Znow-I,28,2024-12-26 05:58:00,Wow!!! So stunning and beautiful! You truly mastered capturing the light ght and the energies! I love it!!🙌🙌🙌,Wow!!! So stunning and beautiful! You truly mastered capturing the light ght and the energies! I love it!! :raising_hands: :raising_hands: :raising_hands:,0.9019438028335571
human,DDhx9Znow-I,29,2024-12-31 00:19:00,Beautiful artwork 😍❤️,Beautiful artwork :smiling_face_with_heart-eyes: :red_heart:,0.7950255274772644
human,DDhx9Znow-I,30,2024-12-31 04:58:00,😍😍😍😍😍,:smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes:,-0.16048428416252136
human,DDhx9Znow-I,31,2024-12-31 15:31:00,The light 😮🔥😍,The light :face_with_open_mouth: :fire: :smiling_face_with_heart-eyes:,-0.13763730227947235
human,DDhx9Znow-I,32,2025-01-01 07:17:00,I love those colors ❤️ very nice❤️,I love those colors :red_heart: very nice :red_heart:,0.8644950985908508
